0 exploration 100 model selected_goal competence
1 exploration 100 model selected_goal competence
2 exploration_path 11 None [0.00261146 0.41659215 0.60347626 1.        ] None
76 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
77 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
78 improvement 22 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
79 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
80 improvement 20 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
81 improvement 8 0 [0.41660301 0.00449139 0.58641422 1.        ] -0.20000000000000007
82 improvement 16 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
83 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
84 improvement 16 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
85 improvement 17 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
86 improvement 20 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
87 improvement 9 0 [0.41660301 0.00449139 0.58641422 1.        ] -0.20000000000000007
88 improvement 19 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
89 improvement 21 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
90 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
91 improvement 17 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
92 improvement 16 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
93 improvement 21 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
94 improvement 17 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
95 improvement 28 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
96 improvement 21 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
97 improvement 15 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
98 improvement 23 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
99 improvement 22 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
100 improvement 28 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
101 improvement 18 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
102 improvement 24 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
103 improvement 42 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
104 improvement 14 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
105 improvement 54 0 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
