0 exploration 100 model selected_goal competence
1 exploration 100 model selected_goal competence
2 exploration_path 14 None [0.00439331 0.41827281 0.60571439 1.        ] None
77 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
78 improvement 12 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
79 improvement 17 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
80 improvement 10 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
81 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
82 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
83 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
84 improvement 10 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
85 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
86 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
87 improvement 11 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
88 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
89 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
90 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
91 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
92 improvement 12 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
93 improvement 19 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
94 improvement 10 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
95 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
96 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
97 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
98 improvement 10 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
99 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
100 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
